coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,target,risk,num_trades,win_rate,total_net_profit,ending_capital,return_pct,max_drawdown_pct,profit_factor,expectancy,avg_win,avg_loss,exposure_pct
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,7,3.0,"ST1(14,2.0)+ST2(7,3.0)",1.5%,1:3,4.5%,1%,77,48.05,1415.37,11415.37,14.15,6.13,1.38,18.38,139.71,-93.85,58.13
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,14,2.0,"ST1(7,3.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,77,48.05,1415.37,11415.37,14.15,6.13,1.38,18.38,139.71,-93.85,58.13
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,10,2.0,"ST1(10,3.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,80,46.25,1361.98,11361.98,13.62,7.0,1.33,17.02,147.01,-94.83,58.48
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,10,3.0,"ST1(10,2.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,80,46.25,1361.98,11361.98,13.62,7.0,1.33,17.02,147.01,-94.83,58.48
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,14,2.0,"ST1(10,3.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,77,46.75,1347.78,11347.78,13.48,6.13,1.36,17.5,142.57,-92.32,59.18
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,10,3.0,"ST1(14,2.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,77,46.75,1347.78,11347.78,13.48,6.13,1.36,17.5,142.57,-92.32,59.18
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,7,3.0,"ST1(10,2.0)+ST2(7,3.0)",1.5%,1:3,4.5%,1%,81,46.91,1347.17,11347.17,13.47,7.12,1.33,16.63,143.24,-95.26,57.85
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,10,2.0,"ST1(7,3.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,81,46.91,1347.17,11347.17,13.47,7.12,1.33,16.63,143.24,-95.26,57.85
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,4.0,12,2.0,"ST1(12,4.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,72,45.83,1325.36,11325.36,13.25,6.49,1.36,18.41,150.7,-93.53,50.02
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,12,4.0,"ST1(12,2.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,72,45.83,1325.36,11325.36,13.25,6.49,1.36,18.41,150.7,-93.53,50.02
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,7,3.0,"ST1(12,2.0)+ST2(7,3.0)",1.5%,1:3,4.5%,1%,81,48.15,1317.32,11317.32,13.17,7.37,1.33,16.26,136.76,-95.62,57.19
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,12,2.0,"ST1(7,3.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,81,48.15,1317.32,11317.32,13.17,7.37,1.33,16.26,136.76,-95.62,57.19
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,12,3.5,"ST1(14,2.0)+ST2(12,3.5)",1.5%,1:3,4.5%,1%,67,46.27,1306.55,11306.55,13.07,5.29,1.4,19.5,147.77,-90.96,50.33
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.5,14,2.0,"ST1(12,3.5)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,67,46.27,1306.55,11306.55,13.07,5.29,1.4,19.5,147.77,-90.96,50.33
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,2.0,10,2.0,"ST1(7,2.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,82,45.12,1302.49,11302.49,13.02,9.85,1.32,15.88,143.75,-89.25,61.06
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,7,2.0,"ST1(10,2.0)+ST2(7,2.0)",1.5%,1:3,4.5%,1%,82,45.12,1302.49,11302.49,13.02,9.85,1.32,15.88,143.75,-89.25,61.06
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.5,12,2.0,"ST1(14,3.5)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,73,46.58,1286.81,11286.81,12.87,7.62,1.37,17.63,140.48,-89.48,52.11
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,14,3.5,"ST1(12,2.0)+ST2(14,3.5)",1.5%,1:3,4.5%,1%,73,46.58,1286.81,11286.81,12.87,7.62,1.37,17.63,140.48,-89.48,52.11
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,10,3.0,"ST1(12,2.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,81,46.91,1250.31,11250.31,12.5,7.91,1.31,15.44,139.36,-94.08,58.24
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,12,2.0,"ST1(10,3.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,81,46.91,1250.31,11250.31,12.5,7.91,1.31,15.44,139.36,-94.08,58.24
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.0,10,2.0,"ST1(12,3.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,79,45.57,1242.52,11242.52,12.43,7.72,1.31,15.73,146.07,-93.4,56.77
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,3.0,"ST1(10,2.0)+ST2(12,3.0)",1.5%,1:3,4.5%,1%,79,45.57,1242.52,11242.52,12.43,7.72,1.31,15.73,146.07,-93.4,56.77
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,10,2.0,"ST1(12,2.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,86,47.67,1230.49,11230.49,12.3,8.51,1.29,14.31,133.18,-93.99,62.31
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,2.0,"ST1(10,2.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,86,47.67,1230.49,11230.49,12.3,8.51,1.29,14.31,133.18,-93.99,62.31
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,12,3.0,"ST1(14,2.0)+ST2(12,3.0)",1.5%,1:3,4.5%,1%,76,46.05,1228.47,11228.47,12.28,6.24,1.33,16.16,141.45,-90.79,57.47
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.0,14,2.0,"ST1(12,3.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,76,46.05,1228.47,11228.47,12.28,6.24,1.33,16.16,141.45,-90.79,57.47
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,7,4.0,"ST1(10,2.0)+ST2(7,4.0)",1.5%,1:3,4.5%,1%,73,45.21,1222.7,11222.7,12.23,9.83,1.33,16.75,148.99,-92.35,52.46
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,4.0,10,2.0,"ST1(7,4.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,73,45.21,1222.7,11222.7,12.23,9.83,1.33,16.75,148.99,-92.35,52.46
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,12,2.0,"ST1(14,2.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,81,48.15,1220.92,11220.92,12.21,8.76,1.3,15.07,134.0,-95.36,62.1
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,14,2.0,"ST1(12,2.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,81,48.15,1220.92,11220.92,12.21,8.76,1.3,15.07,134.0,-95.36,62.1
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,7,3.0,"ST1(14,3.0)+ST2(7,3.0)",1.5%,1:3,4.5%,1%,84,46.43,1217.98,11217.98,12.18,6.61,1.29,14.5,140.31,-94.54,59.0
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,14,3.0,"ST1(7,3.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,84,46.43,1217.98,11217.98,12.18,6.61,1.29,14.5,140.31,-94.54,59.0
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,14,4.0,"ST1(10,2.0)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,72,43.06,1211.8,11211.8,12.12,6.76,1.32,16.83,160.08,-91.48,51.1
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,4.0,10,2.0,"ST1(14,4.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,72,43.06,1211.8,11211.8,12.12,6.76,1.32,16.83,160.08,-91.48,51.1
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,12,4.0,"ST1(14,2.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,70,45.71,1208.13,11208.13,12.08,6.49,1.34,17.26,147.8,-92.67,50.3
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,4.0,14,2.0,"ST1(12,4.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,70,45.71,1208.13,11208.13,12.08,6.49,1.34,17.26,147.8,-92.67,50.3
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,4.0,12,2.0,"ST1(7,4.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,72,45.83,1182.08,11182.08,11.82,9.72,1.32,16.42,146.2,-93.4,51.1
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,7,4.0,"ST1(12,2.0)+ST2(7,4.0)",1.5%,1:3,4.5%,1%,72,45.83,1182.08,11182.08,11.82,9.72,1.32,16.42,146.2,-93.4,51.1
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,14,3.5,"ST1(14,2.0)+ST2(14,3.5)",1.5%,1:3,4.5%,1%,70,45.71,1165.37,11165.37,11.65,6.15,1.35,16.65,141.63,-88.6,52.32
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.5,14,2.0,"ST1(14,3.5)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,70,45.71,1165.37,11165.37,11.65,6.15,1.35,16.65,141.63,-88.6,52.32
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,10,3.0,"ST1(14,3.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,85,45.88,1162.3,11162.3,11.62,6.61,1.27,13.67,139.71,-93.18,60.43
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,14,3.0,"ST1(10,3.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,85,45.88,1162.3,11162.3,11.62,6.61,1.27,13.67,139.71,-93.18,60.43
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,4.0,14,2.0,"ST1(7,4.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,69,44.93,1149.73,11149.73,11.5,7.38,1.33,16.66,148.94,-91.25,52.35
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,7,4.0,"ST1(14,2.0)+ST2(7,4.0)",1.5%,1:3,4.5%,1%,69,44.93,1149.73,11149.73,11.5,7.38,1.33,16.66,148.94,-91.25,52.35
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,10,3.5,"ST1(10,2.0)+ST2(10,3.5)",1.5%,1:3,4.5%,1%,74,44.59,1139.06,11139.06,11.39,7.21,1.31,15.39,147.57,-91.0,53.26
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.5,10,2.0,"ST1(10,3.5)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,74,44.59,1139.06,11139.06,11.39,7.21,1.31,15.39,147.57,-91.0,53.26
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.0,12,2.0,"ST1(12,3.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,80,46.25,1132.02,11132.02,11.32,8.63,1.28,14.15,138.29,-92.67,56.53
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,12,3.0,"ST1(12,2.0)+ST2(12,3.0)",1.5%,1:3,4.5%,1%,80,46.25,1132.02,11132.02,11.32,8.63,1.28,14.15,138.29,-92.67,56.53
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.5,14,3.0,"ST1(12,3.5)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,79,46.84,1130.03,11130.03,11.3,5.27,1.28,14.3,138.62,-95.21,54.68
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,12,3.5,"ST1(14,3.0)+ST2(12,3.5)",1.5%,1:3,4.5%,1%,79,46.84,1130.03,11130.03,11.3,5.27,1.28,14.3,138.62,-95.21,54.68
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,2.0,14,2.0,"ST1(7,2.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,78,46.15,1124.48,11124.48,11.24,8.02,1.29,14.42,138.39,-91.85,59.6
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,7,2.0,"ST1(14,2.0)+ST2(7,2.0)",1.5%,1:3,4.5%,1%,78,46.15,1124.48,11124.48,11.24,8.02,1.29,14.42,138.39,-91.85,59.6
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,7,2.0,"ST1(12,2.0)+ST2(7,2.0)",1.5%,1:3,4.5%,1%,82,45.12,1107.38,11107.38,11.07,9.73,1.27,13.5,139.84,-90.37,59.94
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,2.0,12,2.0,"ST1(7,2.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,82,45.12,1107.38,11107.38,11.07,9.73,1.27,13.5,139.84,-90.37,59.94
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.5,12,2.0,"ST1(10,3.5)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,74,44.59,1084.56,11084.56,10.85,7.22,1.29,14.66,144.58,-89.92,52.14
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,10,3.5,"ST1(12,2.0)+ST2(10,3.5)",1.5%,1:3,4.5%,1%,74,44.59,1084.56,11084.56,10.85,7.22,1.29,14.66,144.58,-89.92,52.14
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,14,4.0,"ST1(12,2.0)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,73,43.84,1047.79,11047.79,10.48,7.68,1.28,14.35,150.52,-91.92,50.3
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,4.0,12,2.0,"ST1(14,4.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,73,43.84,1047.79,11047.79,10.48,7.68,1.28,14.35,150.52,-91.92,50.3
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,7,3.5,"ST1(14,2.0)+ST2(7,3.5)",1.5%,1:3,4.5%,1%,70,44.29,1017.22,11017.22,10.17,6.34,1.28,14.53,149.3,-92.59,53.05
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.5,14,2.0,"ST1(7,3.5)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,70,44.29,1017.22,11017.22,10.17,6.34,1.28,14.53,149.3,-92.59,53.05
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,4.0,10,3.5,"ST1(12,4.0)+ST2(10,3.5)",1.5%,1:3,4.5%,1%,14,71.43,1017.02,11017.02,10.17,1.7,3.45,72.65,143.24,-103.84,88.79
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,3.5,12,4.0,"ST1(10,3.5)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,14,71.43,1017.02,11017.02,10.17,1.7,3.45,72.65,143.24,-103.84,88.79
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,3.5,12,4.0,"ST1(14,3.5)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,14,71.43,1017.02,11017.02,10.17,1.7,3.45,72.65,143.24,-103.84,88.79
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,4.0,14,3.5,"ST1(12,4.0)+ST2(14,3.5)",1.5%,1:3,4.5%,1%,14,71.43,1017.02,11017.02,10.17,1.7,3.45,72.65,143.24,-103.84,88.79
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,4.0,12,3.5,"ST1(12,4.0)+ST2(12,3.5)",1.5%,1:3,4.5%,1%,14,71.43,1017.02,11017.02,10.17,1.7,3.45,72.65,143.24,-103.84,88.79
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,3.5,12,4.0,"ST1(12,3.5)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,14,71.43,1017.02,11017.02,10.17,1.7,3.45,72.65,143.24,-103.84,88.79
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,2.0,14,3.0,"ST1(7,2.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,82,45.12,1003.58,11003.58,10.04,6.61,1.24,12.24,139.72,-92.58,58.41
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,7,2.0,"ST1(14,3.0)+ST2(7,2.0)",1.5%,1:3,4.5%,1%,82,45.12,1003.58,11003.58,10.04,6.61,1.24,12.24,139.72,-92.58,58.41
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,7,3.5,"ST1(14,3.0)+ST2(7,3.5)",1.5%,1:3,4.5%,1%,80,45.0,1000.3,11000.3,10.0,5.42,1.24,12.5,145.52,-96.33,56.5
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.5,14,3.0,"ST1(7,3.5)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,80,45.0,1000.3,11000.3,10.0,5.42,1.24,12.5,145.52,-96.33,56.5
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,3.5,14,4.0,"ST1(14,3.5)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,87.16
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,4.0,14,3.5,"ST1(14,4.0)+ST2(14,3.5)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,87.16
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,4.0,10,4.0,"ST1(12,4.0)+ST2(10,4.0)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,89.96
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,3.5,14,4.0,"ST1(10,3.5)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,87.16
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,10,4.0,12,4.0,"ST1(10,4.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,89.96
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,4.0,10,3.5,"ST1(14,4.0)+ST2(10,3.5)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,87.16
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,4.0,12,4.0,"ST1(14,4.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,89.96
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,14,4.0,12,3.5,"ST1(14,4.0)+ST2(12,3.5)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,87.16
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,4.0,14,4.0,"ST1(12,4.0)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,89.96
SOL/INR,5m,2026-09-17 to 2026-09-24 (7D),1963,12,3.5,14,4.0,"ST1(12,3.5)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,14,71.43,987.52,10987.52,9.88,1.7,3.38,70.54,140.18,-103.57,87.16
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,10,3.5,"ST1(14,2.0)+ST2(10,3.5)",1.5%,1:3,4.5%,1%,70,44.29,979.32,10979.32,9.79,5.29,1.28,13.99,146.16,-91.07,52.11
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.5,14,2.0,"ST1(10,3.5)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,70,44.29,979.32,10979.32,9.79,5.29,1.28,13.99,146.16,-91.07,52.11
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,2.0,12,4.0,"ST1(7,2.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,77,42.86,977.76,10977.76,9.78,6.37,1.25,12.7,150.41,-90.59,54.06
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,4.0,7,2.0,"ST1(12,4.0)+ST2(7,2.0)",1.5%,1:3,4.5%,1%,77,42.86,977.76,10977.76,9.78,6.37,1.25,12.7,150.41,-90.59,54.06
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,4.0,14,3.0,"ST1(7,4.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,79,44.3,974.78,10974.78,9.75,6.46,1.23,12.34,147.51,-95.19,55.87
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,7,4.0,"ST1(14,3.0)+ST2(7,4.0)",1.5%,1:3,4.5%,1%,79,44.3,974.78,10974.78,9.75,6.46,1.23,12.34,147.51,-95.19,55.87
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.0,14,3.0,"ST1(12,3.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,86,45.35,969.88,10969.88,9.7,6.61,1.22,11.28,138.4,-94.2,60.95
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,12,3.0,"ST1(14,3.0)+ST2(12,3.0)",1.5%,1:3,4.5%,1%,86,45.35,969.88,10969.88,9.7,6.61,1.22,11.28,138.4,-94.2,60.95
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.5,10,2.0,"ST1(7,3.5)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,75,44.0,965.89,10965.89,9.66,8.81,1.25,12.88,148.38,-93.59,53.22
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,7,3.5,"ST1(10,2.0)+ST2(7,3.5)",1.5%,1:3,4.5%,1%,75,44.0,965.89,10965.89,9.66,8.81,1.25,12.88,148.38,-93.59,53.22
